3	84.29882	-5.26088	0.68920	0.11276	0.08361	0.12417	0.08917	0.31156	0.12441	0.01523	0.11351	0.01746	0.25018
4	83.65763	-5.46562	-1.09389	0.52314	0.25436	0.38903	0.32973	0.43670	0.26307	0.24139	0.15571	0.16119	0.45659
5	84.19218	-4.99943	-1.51023	0.94153	0.09338	0.05079	0.08109	0.18325	0.06535	0.31473	0.12797	0.02741	0.14559
1	84.45995	-5.10787	-1.45415	0.66914	0.43240	0.18932	0.19485	0.26363	0.15667	0.02537	0.06750	0.00904	0.04524
2	84.02846	-5.35222	-1.16747	0.67582	0.12666	0.18926	0.30452	0.29124	0.13456	0.11483	0.05449	0.12836	0.37783
3	84.34990	-5.03282	-1.11674	0.56701	0.03354	0.40891	0.10497	0.11532	0.05146	0.09978	0.15348	0.11667	0.03360
4	84.49823	-4.40035	0.91772	0.70642	0.29812	0.15539	0.03780	0.30184	0.06820	0.23245	0.08520	0.03700	0.00912
5	83.71321	-4.79604	-1.22557	0.67672	0.31185	0.25626	0.30519	0.03464	0.15611	0.10454	0.02856	0.05973	0.13811
1	84.15547	-4.96746	-1.10513	0.07912	0.04316	0.27593	0.06358	0.45765	0.34429	0.09662	0.01618	0.22356	0.01171
2	84.33114	-4.38278	0.95696	0.36972	0.35211	0.09886	0.12004	0.06316	0.23752	0.23843	0.32986	0.09100	0.05518
3	84.34927	-4.77221	0.63195	0.30934	0.42214	0.09371	0.04503	0.02214	0.03418	0.08061	0.04851	0.37778	0.00146
4	84.66219	-4.45823	0.85134	0.03549	0.20297	0.39514	0.31578	0.17594	0.16348	0.13660	0.22481	0.12258	0.00596
5	85.18097	-4.28791	0.30440	0.14071	0.29694	0.60984	0.63076	0.36163	0.11135	0.23314	0.05752	0.09222	0.01880
1	83.90294	-4.88007	0.87460	0.24508	0.05788	0.00559	0.12281	0.14918	0.04974	0.00907	0.08879	0.27166	0.10056
2	84.72366	-4.44942	0.40752	0.10591	0.25366	0.42416	0.38882	0.45021	0.06545	0.26997	0.50070	0.16230	0.18603
3	84.71092	-4.34726	0.33603	0.34630	0.12976	0.03058	0.03909	0.22550	0.14577	0.07573	0.04585	0.12569	0.14041
4	84.24557	-4.88558	-1.24700	0.13966	0.08700	0.00075	0.09437	0.14175	0.12052	0.01015	0.20810	0.00407	0.13324
5	83.92395	-5.23555	-1.07947	0.41005	0.24837	0.05752	0.25792	0.15504	0.11918	0.01873	0.05725	0.09457	0.40603
1	83.69722	-4.93173	-1.23192	0.52889	0.70586	0.45770	0.31843	0.30642	0.04251	0.01018	0.08726	0.11869	0.03831
2	83.82692	-5.43813	-1.86718	-1.03114	0.76040	0.60562	0.46153	0.18328	0.14463	0.14343	0.02279	0.04679	0.09683
